date,topic_id,interest,label,geo,timeframe
2025-10-14 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-10-15 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-10-16 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-10-17 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-10-18 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-10-19 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-10-20 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-10-21 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-10-22 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-10-23 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-10-24 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-10-25 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-10-26 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-10-27 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-10-28 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-10-29 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-10-30 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-10-31 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-01 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-02 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-03 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-04 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-05 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-06 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-07 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-08 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-09 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-10 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-11 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-12 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-13 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-14 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-15 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-16 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-17 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-18 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-19 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-20 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-21 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-22 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-23 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-24 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-25 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-26 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-27 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-28 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-29 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-11-30 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-12-01 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-12-02 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-12-03 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-12-04 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-12-05 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-12-06 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-12-07 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-12-08 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-12-09 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-12-10 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-12-11 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-12-12 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-12-13 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-12-14 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-12-15 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-12-16 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
2025-12-17 00:00:00,/m/010w1kk1,0,Shrinkflation,BR,today 3-m
